framenumber,X Coord,Y Coord,Diameter
449.0,294.0,537.0,114.24706268310547
450.0,294.0,537.0,114.24706268310547
451.0,294.0,537.0,114.24706268310547
452.0,294.0,537.0,114.24706268310547
453.0,294.0,537.0,114.24706268310547
454.0,294.0,537.0,114.24706268310547
455.0,294.0,538.0,115.51920318603516
456.0,294.0,538.0,115.51920318603516
457.0,294.0,538.0,115.51920318603516
458.0,294.0,538.0,115.51920318603516
459.0,294.0,538.0,115.51920318603516
460.0,295.0,538.0,113.5881576538086
461.0,295.0,538.0,113.5881576538086
462.0,295.0,538.0,113.5881576538086
463.0,295.0,538.0,113.5881576538086
464.0,295.0,538.0,113.5881576538086
465.0,295.0,538.0,113.5881576538086
466.0,295.0,538.0,113.5881576538086
467.0,293.0,538.0,115.4815444946289
468.0,293.0,538.0,115.4815444946289
469.0,293.0,538.0,115.4815444946289
470.0,293.0,538.0,115.4815444946289
471.0,294.0,538.0,115.1578369140625
472.0,294.0,538.0,115.1578369140625
473.0,294.0,538.0,115.1578369140625
474.0,294.0,538.0,115.1578369140625
475.0,294.0,538.0,115.1578369140625
476.0,294.0,538.0,115.1578369140625
477.0,294.0,538.0,115.1578369140625
478.0,294.0,537.0,114.2044677734375
479.0,294.0,537.0,114.2044677734375
480.0,294.0,537.0,114.2044677734375
481.0,294.0,537.0,114.2044677734375
482.0,294.0,537.0,114.2044677734375
483.0,295.0,538.0,113.93754577636719
484.0,295.0,538.0,113.93754577636719
