Time,X Coord,Y Coord,Radius,Framenumber
1578310083.0385954,37.5,15.0,26.391536712646484,914
1578310083.0445914,36.5,21.0,26.688364028930664,914
1578310083.05059,36.5,21.0,26.688364028930664,914
1578310083.0585854,36.5,21.0,26.688364028930664,914
1578310083.0635827,36.5,13.0,28.35940170288086,914
1578310083.0705767,36.5,13.0,28.35940170288086,914
1578310083.0775754,36.5,10.0,28.443038940429688,914
1578310083.0825715,36.5,10.0,28.443038940429688,914
1578310083.0905657,36.5,10.0,28.443038940429688,914
1578310083.096564,36.5,19.0,27.663251876831055,914
1578310083.104558,36.5,19.0,27.663251876831055,914
1578310083.110556,37.5,18.0,27.184877395629883,914
1578310083.1165516,37.5,18.0,27.184877395629883,914
1578310083.1235485,37.5,10.0,26.305992126464844,914
1578310083.1285453,37.5,10.0,26.305992126464844,914
1578310083.1345408,37.5,10.0,26.305992126464844,914
1578310083.1415384,38.5,13.0,25.985671997070312,914
1578310083.146535,38.5,13.0,25.985671997070312,914
1578310083.1535306,38.5,13.0,25.985671997070312,914
1578310083.1595263,37.5,20.0,27.1662540435791,914
1578310083.166523,37.5,20.0,27.1662540435791,914
1578310083.1735215,38.5,14.0,25.894113540649414,914
1578310083.1785166,38.5,14.0,25.894113540649414,914
1578310083.1865106,38.5,14.0,25.894113540649414,914
1578310083.19151,37.5,9.0,25.895267486572266,914
1578310083.1985042,37.5,9.0,25.895267486572266,914
1578310083.2045012,37.5,16.0,26.172603607177734,914
1578310083.210499,37.5,16.0,26.172603607177734,914
1578310083.217494,37.5,16.0,25.811918258666992,914
1578310083.223492,37.5,16.0,25.811918258666992,914
1578310083.2314856,37.5,16.0,25.811918258666992,914
1578310083.238483,37.5,8.0,28.044706344604492,914
1578310083.2434785,37.5,8.0,28.044706344604492,914
1578310083.2504745,36.5,12.0,26.96767234802246,914
1578310083.256473,36.5,12.0,26.96767234802246,914
1578310083.2644694,36.5,12.0,26.96767234802246,914
1578310083.2704654,37.5,16.0,26.688339233398438,914
1578310083.2764606,37.5,16.0,26.688339233398438,914
1578310083.2834578,37.5,9.0,26.08649444580078,914
1578310083.2904534,37.5,9.0,26.08649444580078,914
1578310083.2974486,37.5,9.0,26.08649444580078,914
1578310083.3034334,37.5,8.0,25.99065399169922,914
1578310083.3114316,37.5,8.0,25.99065399169922,914
1578310083.3174417,37.5,15.0,25.894113540649414,914
1578310083.3244436,37.5,15.0,25.894113540649414,914
1578310083.3304207,37.5,13.0,26.476503372192383,914
1578310083.3374355,37.5,13.0,26.476503372192383,914
1578310083.3444161,37.5,13.0,26.476503372192383,914
1578310083.3514094,37.5,8.0,27.22600555419922,914
1578310083.358405,37.5,8.0,27.22600555419922,914
1578310083.3644202,36.5,11.0,28.22249984741211,914
